,title,price,mileage,year,location
233,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
234,Yamaha R15,"Rp 15,900,000",1 - 5K KM,2015,Kalisari
235,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
236,Honda Beat,"Rp 12,800,000",1 - 5K KM,2018,Kalisari
237,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
238,Honda Beat,"Rp 12,800,000",1 - 5K KM,2018,Kalisari
239,Yamaha R15,"Rp 15,900,000",1 - 5K KM,2015,Kalisari
240,Honda Scoopy Esp,"Rp 14,200,000",5 - 10K KM,2016,Pemalang
241,Honda Scoopy Esp,"Rp 17,000,000",10 - 20K KM,2018,Citrodiwangsan
242,Honda Nscoopy Fi Sport Mtro,"Rp 19,000,000",1 - 5K KM,2020,Cipeujeuh Wetan
243,Honda Vario 150 Esp Exclusive,"Rp 18,200,000",0 - 1K KM,2018,Cisalak Pasar
244,Kawasaki W175 Se,"Rp 25,000,000",5 - 10K KM,2019,Pancoran Mas
245,Yamaha All New Nmax 155 Con,"Rp 27,500,000",5 - 10K KM,2019,Mekarsari
246,Yamaha Freego S,"Rp 13,500,000",1 - 5K KM,2019,Kelapa Dua
247,Kawasaki W 175 Cafe,"Rp 25,000,000",1 - 5K KM,2019,Sukatani
248,Yamaha All New Nmax 155,"Rp 27,500,000",5 - 10K KM,2020,Depok
249,Honda New Scoopy Retro,"Rp 17,500,000",10 - 20K KM,2019,Mekarsari
250,Honda Vario 150 Esp Sporty,"Rp 18,200,000",0 - 1K KM,2018,Tugu
251,Yamaha Freego,"Rp 13,500,000",1 - 5K KM,2019,Bojong Depok
252,Honda Cbr 150 R,"Rp 28,000,000",0 - 1K KM,2018,Depok
253,Yamaha R15 Gp Tech 3,"Rp 15,900,000",5 - 10K KM,2015,Kalisari
254,Honda Scoopy Esp,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
255,Yamaha R15,"Rp 15,900,000",1 - 5K KM,2015,Kalisari
256,Yamaha R15,"Rp 15,900,000",1 - 5K KM,2015,Kalisari
257,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
258,Honda Beat Std,"Rp 12,800,000",1 - 5K KM,2018,Kalisari
259,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
260,Honda Beat,"Rp 12,800,000",5 - 10K KM,2018,Kalisari
261,Honda Beat Std,"Rp 12,800,000",5 - 10K KM,2018,Kalisari
262,Yamaha N Max,"Rp 23,500,000",0 - 1K KM,2019,Bojong Depok
263,Honda Scoopy Esp,"Rp 15,000,000",10 - 20K KM,2017,Kalisari
264,Honda New Scoopy Sporty,"Rp 17,500,000",10 - 20K KM,2019,Tugu
265,Honda Vario Techno 110,"Rp 11,800,000",5 - 10K KM,2015,Tegalrejo
266,Honda Beat Fi Cbs Esp Plus,"Rp 13,900,000",5 - 10K KM,2018,Tegalrejo
267,Honda Vario 150 Esp Sporty,"Rp 22,200,000",5 - 10K KM,2019,Tegalrejo
268,Honda Pcx,"Rp 30,000,000",0 - 1K KM,2020,Kajen
269,Honda Vario 125 Cbs Iss,"Rp 12,200,000",1 - 5K KM,2015,Baler Bale Agung
270,Yamaha All New Nmax 155,"Rp 27,800,000",10 - 20K KM,2018,Tegal
